"ProcessName","Path","Id"
"ApplicationFrameHost","C:\Windows\system32\ApplicationFrameHost.exe","2804"
"bash","C:\Program Files (x86)\Git\usr\bin\bash.exe","7624"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","92"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","968"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","1560"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","1584"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","2372"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","3344"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","3464"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","3604"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","4472"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","5124"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","5292"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","5356"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","5728"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","6248"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","6532"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","6548"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","7664"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","8032"
"cmd","C:\Windows\system32\cmd.exe","7440"
"conhost","C:\Windows\system32\conhost.exe","3704"
"conhost","C:\Windows\system32\conhost.exe","4392"
"conhost","C:\Windows\system32\conhost.exe","6936"
"csrss",,"384"
"csrss",,"492"
"ctfmon","C:\Windows\system32\ctfmon.exe","5644"
"dllhost","C:\Windows\system32\dllhost.exe","3396"
"dllhost","C:\Windows\system32\DllHost.exe","5836"
"dwm","C:\Windows\system32\dwm.exe","928"
"explorer","C:\Windows\Explorer.EXE","4676"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","692"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","700"
"git-bash","C:\Program Files (x86)\Git\git-bash.exe","1764"
"gpg-agent","C:\Program Files (x86)\GnuPG\bin\gpg-agent.exe","3168"
"Idle",,"0"
"kleopatra","C:\Program Files (x86)\Gpg4win\bin\kleopatra.exe","3128"
"LockApp","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","3816"
"lsass","C:\Windows\system32\lsass.exe","616"
"Memory Compression",,"1676"
"mintty","C:\Program Files (x86)\Git\usr\bin\mintty.exe","7528"
"msdtc","C:\Windows\System32\msdtc.exe","4068"
"MsMpEng",,"3928"
"NisSrv",,"8100"
"notepad","C:\Windows\system32\NOTEPAD.EXE","292"
"openvpn-gui","C:\Program Files\OpenVPN\bin\openvpn-gui.exe","5536"
"openvpnserv","C:\Program Files\OpenVPN\bin\openvpnserv.exe","2696"
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","3964"
"Registry",,"68"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","2684"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","3420"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5156"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5876"
"scdaemon","C:\Program Files (x86)\GnuPG\bin\scdaemon.exe","6564"
"SearchIndexer","C:\Windows\system32\SearchIndexer.exe","5328"
"SearchProtocolHost","C:\Windows\system32\SearchProtocolHost.exe","2492"
"SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","3276"
"SecurityHealthService",,"6056"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","6028"
"services",,"604"
"SgrmBroker",,"6512"
